epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11161.2,1.6754,1.70533,1.57379,0.57515,0.48369,0.50182,0.23137,1.78506,1.68677,1.70476,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11508.6,1.68227,1.69279,1.58145,0.54462,0.48633,0.5023,0.23879,1.7753,1.66658,1.70147,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11856.8,1.66883,1.6683,1.58096,0.58914,0.49383,0.51446,0.23932,1.79084,1.63696,1.73033,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,12204.2,1.65387,1.6443,1.56833,0.57225,0.48853,0.51505,0.24149,1.78007,1.63264,1.70598,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12552,1.64875,1.63084,1.561,0.60481,0.49158,0.51909,0.24061,1.79195,1.6283,1.71945,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12898.3,1.64801,1.61432,1.55774,0.57501,0.51672,0.52859,0.24822,1.77399,1.59929,1.70097,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,13245.5,1.64205,1.61679,1.55544,0.58244,0.49857,0.52106,0.24723,1.77502,1.63195,1.70071,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13591.5,1.6429,1.59948,1.54574,0.57633,0.49849,0.52007,0.246,1.77925,1.61324,1.70448,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13938.9,1.62732,1.57502,1.53398,0.60125,0.51546,0.53765,0.24877,1.79194,1.58333,1.71088,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,14285.5,1.61917,1.5551,1.53603,0.60567,0.49844,0.53276,0.25183,1.78039,1.60043,1.71833,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14632,1.61663,1.53393,1.53151,0.5983,0.49215,0.53123,0.25196,1.78212,1.58197,1.70509,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14979.6,1.60548,1.53705,1.52339,0.5726,0.51755,0.53076,0.2525,1.77826,1.58921,1.69792,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,15326.3,1.59727,1.53093,1.52024,0.58122,0.51545,0.53249,0.2539,1.77904,1.5658,1.69992,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15673.8,1.59004,1.51187,1.51645,0.61175,0.50486,0.53839,0.25874,1.77325,1.55403,1.69444,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,16022.2,1.5729,1.49162,1.49921,0.60178,0.51394,0.54397,0.25949,1.77095,1.53511,1.70448,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,16371.9,1.57349,1.49075,1.50199,0.60677,0.5239,0.54917,0.25856,1.78488,1.53702,1.71165,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,16720.5,1.56739,1.4561,1.49807,0.60841,0.52021,0.55099,0.2617,1.7951,1.53034,1.71645,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,17067.4,1.55671,1.44476,1.48674,0.61351,0.5199,0.5464,0.25814,1.79078,1.53251,1.7157,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,17413.8,1.55138,1.42645,1.47968,0.6053,0.52629,0.55391,0.26332,1.78593,1.51607,1.70998,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
